Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2023_q2,,Kidney Stone Surgery,,Zone 4,QE2,2023,2,31,78,45,91
12month_rolling,General Surgery,Hemorrhoidectomy,"Clark, F Donald",,,,,113,117,121,164
12month_rolling,General Surgery,Bowel Resection - Open,"Helyer, Lucy K",,,,,12,16,20,61
2022_q4,,Kidney Stone Surgery,,Zone 4,QE2,2022,4,62,132,36,131
2023_q1,,Septoplasty,,Zone 1,Valley Regional,2023,1,356,425,102,276
2024_q3,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2024,3,,,36,87
12month_rolling,General Surgery,AV Fistula Creation/Closure,"Walsh, Mark J",,,,,9,21,6,17
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Clifton, Neil",,,,,154,237,67,166
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Kujath, Magdalena",,,,,68,506,111,169
2023_q4,,Foot - Arthrodesis,,Zone 4,QE2,2023,4,761,973,137,184
2023_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Zone 4,QE2,2023,3,,,44,64
12month_rolling,,Prostate Surgery,,Zone 4,QE2,2024,3,45,151,100,314
2023_q3,,Gastrointestinal Tract Surgery,,Total,Provincial,2023,3,40,259,44,265
12month_rolling,,Hand / Upper Extremity,,Zone 4,QE2,2024,3,109,715,94,584
12month_rolling,,Whipple Procedures,,Total,Provincial,2024,3,11,20,22,63
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Murdoch, John L",,,,,119,186,51,57
2023_q3,,Male Reproductive System Surgery,,Zone 3,Glace Bay,2023,3,139,234,,
2023_q1,,Ear Tubes  (Adult),,Zone 1,Yarmouth Regional,2023,1,,,34,62
2023_q4,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2023,4,19,118,45,67
2024_q3,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2024,3,,,29,77
3month_rolling,,Cataract Surgery,,Zone 3,Cape Breton Regional,2024,3,60,182,35,108
12month_rolling,Obstetrics/Gynaecology,All,"McCarthy, Leanne",,,,,171,322,92,322
2023_q2,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,2,43,111,38,123
2023_q1,,Bowel Resection - Open,,Zone 4,QE2,2023,1,39,317,24,272
2024_q2,,Bladder Surgery,,Total,Provincial,2024,2,19,151,44,105
2024_q2,,Back Surgery  (Adult),,Total,Provincial,2024,2,86,315,90,230
2023_q4,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2023,4,26,66,36,51
2023_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Total,Provincial,2023,2,29,140,118,516
2022_q4,,Carpal Tunnel Surgery,,Zone 4,Dartmouth General,2022,4,113,207,48,90
12month_rolling,,Bladder Surgery,,Zone 4,QE2,2024,3,21,90,40,108
2022_q4,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2022,4,,,63,167
2024_q1,,Bowel Resection - Open,,Zone 1,South Shore Regional,2024,1,,,25,36
12month_rolling,General Surgery,Bowel Resection - Open,"Lamey, Alicia",,,,,26,53,19,165
12month_rolling,,Bone / Cartilage Graft,,Zone 1,South Shore Regional,2024,3,155,342,121,252
2023_q3,,Maxillofacial Deformity Surgery,,Total,Provincial,2023,3,248,400,244,541
2024_q2,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,2,257,602,221,307
12month_rolling,,Nissen Fundoplication - Open,,Zone 4,QE2,2024,3,,,43,64
2023_q1,,Lacrimal Duct Probing,,Zone 4,QE2,2023,1,,,279,612
2023_q1,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2023,1,11,37,20,42
12month_rolling,Thoracic Surgery,Thoroscopy / Pleuroscopy,"Henteleff, Harry J",,,,,7,18,15,30
2023_q3,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2023,3,27,120,68,173
2022_q3,,Aesthetic Surgery,,Total,Provincial,2022,3,69,141,61,313
2024_q2,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,2,,,47,112
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2023,3,186,371,149,442
2024_q2,,Sinus Surgery,,Total,Provincial,2024,2,,,42,208
2022_q4,,Gallbladder Surgery,,Zone 1,South Shore Regional,2022,4,20,56,32,180
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Rigby, Matthew Hall",,,,,4,84,54,241
2023_q3,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2023,3,19,99,249,293
2023_q1,,Foot - Bunionectomy,,Total,Provincial,2023,1,,,225,325
2023_q2,,Septoplasty,,Zone 4,Dartmouth General,2023,2,44,133,117,435
2024_q1,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2024,1,,,7,10
2023_q2,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2023,2,17,63,70,315
12month_rolling,Orthopaedic,Knee Scope,"Coady, Catherine M",,,,,85,195,103,337
2023_q2,,Cystoscopy,,Zone 4,Dartmouth General,2023,2,38,124,107,451
2022_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2022,3,24,50,28,50
2023_q4,,Sinus Surgery,,Total,Provincial,2023,4,,,38,355
12month_rolling,Ophthalmology,Vitreoretinal Diseases,"Mishra, Amit",,,,,5,44,4,19
2023_q1,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Zone 4,QE2,2023,1,,,29,37
2024_q1,,Lung Cancer Surgery,,Zone 4,QE2,2024,1,23,49,40,88
12month_rolling,General Surgery,Hernia Repair - Incisional,"Booth, John",,,,,38,78,183,232
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Lefel, Oleg",,,,,10,71,75,149
12month_rolling,Orthopaedic,Foot - Arthrodesis,"Hayward, Andrew",,,,,69,246,44,56
3month_rolling,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2024,3,7,32,19,39
12month_rolling,Urology,Male Circumcision  (Adult),"Moore, Jonathan Peter",,,,,66,378,122,370
2024_q1,,Lung Cancer Surgery,,Total,Provincial,2024,1,23,49,40,88
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 1,South Shore Regional,2024,3,42,83,90,137
2022_q4,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2022,4,,,235,554
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Tynski, Gregory",,,,,95,280,100,316
2023_q3,,Lung Cancer Surgery,,Zone 4,QE2,2023,3,28,54,43,103
2023_q4,,Bowel Resection,,Zone 4,Dartmouth General,2023,4,17,154,24,52
2023_q2,,Carpal Tunnel Surgery,,Total,Provincial,2023,2,51,185,85,296
2024_q1,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2024,1,,,38,231
2023_q3,,Hand / Upper Extremity,,Total,Provincial,2023,3,131,389,131,622
2024_q3,,Chest Scopes  (Adult),,Zone 4,QE2,2024,3,,,15,113
2022_q4,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2022,4,,,48,209
2024_q3,,Bladder Cancer Surgery,,Zone 3,Northside General,2024,3,,,64,187
12month_rolling,Obstetrics/Gynaecology,All,"Kieser, Katharina E",,,,,14,29,39,94
2023_q3,,Prostatectomy,,Zone 4,QE2,2023,3,22,48,138,218
2023_q4,,Amputations,,Total,Provincial,2023,4,56,105,21,112
12month_rolling,Orthopaedic,Hip Arthroscopy,"Urquhart, Nathan Alexander",,,,,101,353,68,194
2023_q2,,Dental Extractions and Restorations  (Adult),,IWK,IWK,2023,2,,,342,950
2022_q4,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2022,4,14,85,22,57
3month_rolling,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2024,3,52,99,41,97
12month_rolling,Ophthalmology,Cataract Surgery,"Oosthuizen, Pieter",,,,,125,232,70,161
2024_q1,,Tonsillectomy and/or Adenoidectomy  (Adult),,Total,Provincial,2024,1,64,388,150,389
12month_rolling,,Cystoscopy,,Total,Provincial,2024,3,33,157,40,189
2023_q4,,Hip Arthroscopy,,Zone 4,Dartmouth General,2023,4,83,255,108,297
2022_q4,,Breast Cancer Surgery,,Zone 3,St. Martha's Regional,2022,4,7,22,22,41
2024_q3,,Shoulder Surgery,,Total,Provincial,2024,3,152,497,189,438
12month_rolling,General Surgery,Hernia Repair  (Adult),"King, Jenelle",,,,,22,51,62,111
2024_q1,,Cardiac Valve Replacement,,Total,Provincial,2024,1,,,13,75
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Swinkles, Stephanie",,,,,,,91,149
12month_rolling,Ophthalmology,Strabismus Surgery  (Adult),"Bata, Bashar",,,,,130,660,78,288
12month_rolling,,Pilonidal Cyst Surgery,,Zone 3,Inverness Consolidated Memorial,2024,3,59,89,,
2023_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2023,4,155,409,51,129
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2023,3,53,250,39,161
2024_q2,,Carpal Tunnel Surgery,,Zone 4,Hants Community Hospital,2024,2,64,414,19,48
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Lapierre, Stephanie",,,,,15,21,35,90
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Williams, Jason G",,,,,231,567,78,139
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Trites, Jonathan R",,,,,22,104,30,120
12month_rolling,Obstetrics/Gynaecology,All,"Oniah, Mojisola",,,,,23,52,35,52
2024_q2,,Tendon / Ligament Repair,,Total,Provincial,2024,2,64,419,65,198
2022_q4,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2022,4,76,1127,205,395
12month_rolling,Oral Maxillofacial,Bone / Cartilage Graft,"Powell, Joel",,,,,84,154,95,132
2023_q3,,Knee Scope,,Zone 2,Aberdeen Hospital,2023,3,59,175,91,135
2024_q3,,Kidney Removal,,Total,Provincial,2024,3,14,39,54,163
12month_rolling,General Surgery,Hernia Repair  (Adult),"Yaffe, Paul",,,,,308,460,121,219
12month_rolling,Orthopaedic,Shoulder Surgery,"Trenholm, J Andrew I",,,,,64,210,249,530
2023_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Martha's Regional,2023,1,22,53,,
2023_q3,,Knee Replacement,,Zone 1,Valley Regional,2023,3,359,421,438,655
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2024,3,137,597,209,409
3month_rolling,,Carpal Tunnel Surgery,,Total,Provincial,2024,3,90,511,50,149
2024_q1,,Breast Reduction Surgery,,Total,Provincial,2024,1,149,1699,55,219
2022_q3,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2022,3,42,202,171,575
2024_q2,,Pancreas Surgery,,Zone 4,QE2,2024,2,11,19,18,31
2023_q3,,Bowel Resection - Laparoscopic,,Total,Provincial,2023,3,22,121,29,83
2023_q3,,Sacral Nerve Stimulation,,Total,Provincial,2023,3,,,93,143
2022_q3,,Shoulder Arthroplasty,,Zone 4,QE2,2022,3,104,216,434,687
12month_rolling,Thoracic Surgery,All,"Plourde, Madelaine M",,,,,31,224,48,153
2022_q3,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2022,3,51,644,165,292
2022_q3,,Colorectal Cancer Surgery,,Zone 4,QE2,2022,3,17,52,26,48
2024_q1,,Bowel Resection - Open,,Zone 4,QE2,2024,1,21,58,49,120
12month_rolling,General Surgery,Pilonidal Cyst Surgery,"Hossain, Farisa",,,,,24,69,114,212
2024_q2,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2024,2,,,54,114
2024_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2024,2,28,70,66,169
2023_q2,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2023,2,270,818,227,574
2023_q3,,Kidney Removal,,Zone 4,QE2,2023,3,17,45,67,117
12month_rolling,General Surgery,Hernia Repair  (Adult),"Gala Lopez, Boris",,,,,41,90,76,175
2023_q1,,Hysteroscopy,,Zone 4,Dartmouth General,2023,1,35,154,59,122
2023_q2,,Back Surgery  (Adult),,Zone 4,QE2,2023,2,69,414,122,284
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),"Joice, Shannon",,,,,192,788,84,136
2022_q3,,Salivary Gland Surgery,,Total,Provincial,2022,3,,,104,482
2024_q1,,Lacrimal Duct Probing,,Zone 4,QE2,2024,1,,,48,119
2023_q1,,Male Circumcision  (Adult),,Total,Provincial,2023,1,91,309,132,445
12month_rolling,,Foot - Arthrodesis,,Total,Provincial,2024,3,119,844,110,259
2022_q3,,Strabismus Surgery  (Adult),,Total,Provincial,2022,3,325,912,360,574
12month_rolling,Urology,Prostate Surgery,"Lehmann, Kyle",,,,,168,168,323,453
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Lapierre, Stephanie",,,,,267,963,54,176
2024_q2,,Hip Replacement Revision,,Total,Provincial,2024,2,,,78,264
2024_q2,,Back Surgery  (Pediatric),,IWK,IWK,2024,2,,,422,437
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Mawdsley, Scott D",,,,,57,114,90,188
12month_rolling,General Surgery,Hernia Repair - Ventral,"Joy, Edward",,,,,56,59,105,109
2024_q1,,Kidney Stone Surgery,,Zone 4,Dartmouth General,2024,1,56,219,,
12month_rolling,,Hernia Repair - Umbilical,,Zone 3,Cape Breton Regional,2024,3,400,748,258,386
2022_q3,,Bladder Surgery,,Total,Provincial,2022,3,41,175,48,199
2024_q1,,Sacral Nerve Stimulation,,Zone 4,QE2,2024,1,,,133,162
2023_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Dartmouth General,2023,1,467,504,139,242
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Mawdsley, Scott D",,,,,28,112,63,130
2023_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Martha's Regional,2023,4,,,76,106
2022_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2022,3,9,42,23,73
2024_q1,,Prostatectomy,,Total,Provincial,2024,1,24,54,97,240
12month_rolling,General Surgery,Bowel Resection,"Drohan, Ashley",,,,,11,19,24,56
3month_rolling,,Cataract Surgery,,Zone 3,St. Martha's Regional,2024,3,136,747,103,158
2024_q3,,Endometrial Ablation,,Total,Provincial,2024,3,68,588,65,269
2024_q1,,Breast Reduction Surgery,,Zone 4,QE2,2024,1,1259,2086,49,114
2024_q1,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2024,1,11,35,26,48
2024_q1,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2024,1,48,310,70,243
2023_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Martha's Regional,2023,3,166,323,104,284
2023_q3,,Prostatectomy,,Total,Provincial,2023,3,22,66,123,217
12month_rolling,Cardiac Surgery,Pacemaker Insertion,"Horne, David",,,,,,,7,36
2024_q3,,Gallbladder Surgery,,Zone 4,Hants Community Hospital,2024,3,36,45,36,59
2024_q1,,Hernia Repair  (Adult),,Total,Provincial,2024,1,51,341,79,281
2023_q1,,Back Surgery  (Adult),,Total,Provincial,2023,1,107,666,100,323
12month_rolling,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2024,3,62,237,50,131
2023_q4,,Knee Scope,,Zone 4,Dartmouth General,2023,4,83,304,83,426
12month_rolling,Ophthalmology,Cataract Surgery,"Cheevers, Paul",,,,,258,429,44,135
2023_q3,,Shoulder Arthroscopy,,Zone 1,Yarmouth Regional,2023,3,169,901,169,344
12month_rolling,Otolaryngology (ENT),Septoplasty,"Taylor, Benjamin A",,,,,204,596,71,147
2023_q3,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2023,3,56,182,79,457
2023_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2023,4,51,133,,
12month_rolling,,Salivary Gland Surgery,,Zone 4,QE2,2024,3,,,41,77
2024_q3,,Septoplasty,,Zone 2,Cumberland Regional,2024,3,,,65,96
12month_rolling,Ophthalmology,All,"Mayer, Kristine L",,,,,91,167,43,81
12month_rolling,General Surgery,Gallbladder Surgery,"Yaffe, Paul",,,,,84,387,50,72
12month_rolling,Orthopaedic,All,"El-Hawary, Rany",,,,,731,1172,254,789
12month_rolling,Orthopaedic,Ankle - Arthroplasty,"Morash, Joel",,,,,83,392,52,93
2024_q2,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2024,2,41,56,26,125
3month_rolling,,Female Incontinence Surgery,,Total,Provincial,2024,3,147,888,118,301
2023_q3,,Coronary Artery Bypass Graft,,Zone 4,QE2,2023,3,,,8,48
12month_rolling,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2024,3,82,149,128,251
2023_q4,,Hernia Repair - Incisional,,Total,Provincial,2023,4,60,356,109,496
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Joice, Shannon",,,,,218,509,140,606
2022_q3,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2022,3,21,38,48,507
12month_rolling,General Surgery,All,"Kavanagh, Rhys",,,,,44,187,62,151
2022_q4,,Chest Scopes  (Adult),,Zone 4,QE2,2022,4,10,17,13,41
2023_q2,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2023,2,33,470,27,62
2023_q4,,Hysteroscopy,,Zone 3,St. Martha's Regional,2023,4,49,813,57,146
12month_rolling,General Surgery,Hernia Repair - Incisional,"Clark, F Donald",,,,,55,105,72,79
2022_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2022,3,,,148,345
12month_rolling,,Resurfacing - Knee,,Total,Provincial,2024,3,,,120,172
2023_q1,,Septoplasty,,Zone 4,Dartmouth General,2023,1,100,260,323,476
2022_q3,,Thoroscopy / Pleuroscopy,,Total,Provincial,2022,3,12,27,21,83
12month_rolling,,Prostate Surgery,,Zone 1,Yarmouth Regional,2024,3,64,224,91,300
12month_rolling,Orthopaedic,Hip Replacement,"Richardson, Christopher Glen",,,,,60,112,377,1280
3month_rolling,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2024,3,17,29,18,39
2024_q2,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2024,2,88,292,71,195
2023_q2,,Endarterectomy,,Zone 4,QE2,2023,2,,,30,149
2022_q4,,Shoulder Surgery,,Total,Provincial,2022,4,59,260,363,747
3month_rolling,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2024,3,51,98,241,370
2023_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2023,1,60,145,107,208
2023_q2,,Knee Scope,,Total,Provincial,2023,2,70,208,75,260
2023_q2,,Liver Surgery,,Zone 4,QE2,2023,2,14,21,24,80
2023_q3,,Shoulder Arthroplasty,,Zone 4,QE2,2023,3,105,509,302,566
2022_q4,,Kidney Removal,,Zone 1,Valley Regional,2022,4,,,49,76
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Johnson, Kevin",,,,,19,27,20,43
12month_rolling,,Manipulation of Extremity,,Zone 2,Aberdeen Hospital,2024,3,,,20,49
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Rittenberg, David",,,,,194,797,201,261
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"McGibney, Kieron",,,,,64,106,101,222
2023_q4,,Knee Scope,,Total,Provincial,2023,4,76,282,86,351
12month_rolling,Orthopaedic,All,"Hurley, Richard",,,,,64,239,85,299
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Sahi, Chakshu",,,,,64,253,98,151
12month_rolling,,Angioplasty,,Total,Provincial,2024,3,31,75,30,142
12month_rolling,Plastic Surgery,Wound Management,"Wheelock, Margaret",,,,,,,2,3
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Rittenberg, David",,,,,90,243,77,152
2024_q2,,Hip Replacement,,Zone 1,Valley Regional,2024,2,387,492,282,638
12month_rolling,Ophthalmology,Cataract Surgery,"Celo, Erdit",,,,,43,60,16,17
2023_q2,,Prostate Cancer Surgery,,Total,Provincial,2023,2,27,56,114,178
12month_rolling,General Surgery,Hernia Repair - Incisional,"Joy, Edward",,,,,49,61,58,109
2022_q4,,Head and Neck Surgery,,Total,Provincial,2022,4,20,131,48,615
2024_q2,,Back Surgery  (Adult),,Zone 4,QE2,2024,2,86,315,86,221
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Gala Lopez, Boris",,,,,39,90,98,176
2023_q1,,Gastric Surgery,,Total,Provincial,2023,1,17,45,32,91
12month_rolling,,Thoroscopy / Pleuroscopy,,IWK,IWK,2024,3,,,181,560
2022_q3,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2022,3,82,609,218,337
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Walling, Simon",,,,,91,129,27,99
12month_rolling,Cardiac Surgery,Coronary Artery Bypass Graft,"Hirsch, Gregory M",,,,,,,8,56
12month_rolling,Oral Maxillofacial,Temperomandibular Joint Surgery (TMJ),"Brady, James",,,,,104,524,105,851
2024_q2,,Prostate Surgery,,Zone 4,Dartmouth General,2024,2,40,140,135,435
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 2,Colchester East Hants Health Centre,2024,3,,,41,185
2023_q4,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2023,4,28,95,28,177
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Yaffe, Paul",,,,,33,56,36,63
2023_q2,,Bowel Resection,,Zone 1,Yarmouth Regional,2023,2,,,47,90
2023_q3,,Bladder Surgery,,Total,Provincial,2023,3,20,114,47,87
12month_rolling,Otolaryngology (ENT),Septoplasty,"Brodarec, Ivan",,,,,197,672,71,159
12month_rolling,Thoracic Surgery,Lung Surgery,"Mujoomdar, Aneil Arvind",,,,,22,63,33,66
12month_rolling,,Prostate Surgery,,Zone 3,Northside General,2024,3,59,170,38,97
2024_q2,,Knee Scope,,Zone 4,Hants Community Hospital,2024,2,84,117,64,197
2023_q4,,Hip Replacement,,Zone 4,Dartmouth General,2023,4,255,664,114,416
12month_rolling,General Surgery,All,"Wasilewski, Leszek J",,,,,617,1539,84,202
2023_q3,,Oculo Plastic Surgery,,Total,Provincial,2023,3,85,350,79,260
12month_rolling,General Surgery,Hernia Repair - Incisional,"MacDonald, Blair",,,,,13,27,69,126
2023_q2,,Endarterectomy,,Total,Provincial,2023,2,,,30,149
12month_rolling,,Nissen Fundoplication - Laparoscopic,,Zone 1,Valley Regional,2024,3,566,706,,
12month_rolling,Orthopaedic,All,"Glennie, Raymond Andrew",,,,,106,350,133,222
2023_q1,,Bowel Resection,,Zone 3,Cape Breton Regional,2023,1,31,99,21,222
12month_rolling,,Meniscectomy,,Zone 4,QE2,2024,3,188,344,188,204
2023_q1,,Hernia Repair - Umbilical,,Total,Provincial,2023,1,89,392,79,351
2024_q2,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2024,2,117,625,230,412
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"McCarthy, Leanne",,,,,282,313,337,412
2022_q4,,Endarterectomy,,Total,Provincial,2022,4,,,30,244
12month_rolling,Urology,Prostate Surgery,"McGregor, Thomas",,,,,31,91,73,107
12month_rolling,Urology,Kidney Removal,"Rendon, Ricardo",,,,,9,24,85,169
12month_rolling,General Surgery,Gallbladder Surgery,"Gala Lopez, Boris",,,,,28,52,52,178
12month_rolling,General Surgery,Whipple Procedures,"Walsh, Mark J",,,,,15,20,23,63
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2023,4,30,154,71,136
12month_rolling,General Surgery,Gallbladder Surgery,"Roach, Eileen",,,,,142,649,77,195
2024_q2,,Nerve Surgery,,Total,Provincial,2024,2,73,288,59,186
2024_q2,,Brain Surgery  (Pediatric),,IWK,IWK,2024,2,,,63,142
2024_q1,,Head and Neck Surgery,,Zone 4,Dartmouth General,2024,1,17,65,246,1181
2022_q3,,Knee Scope,,Zone 2,Aberdeen Hospital,2022,3,67,188,60,202
2024_q2,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2024,2,,,41,79
2023_q4,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2023,4,,,6,9
2022_q4,,Kidney / Upper Urinary Tract,,Total,Provincial,2022,4,21,93,46,173
12month_rolling,General Surgery,Hernia Repair - Incisional,"Hoogerboord, C Marius",,,,,157,510,126,299
2023_q4,,Nerve Surgery,,Total,Provincial,2023,4,64,254,36,109
3month_rolling,,Ear Tubes  (Pediatric),,Zone 3,St. Martha's Regional,2024,3,50,126,32,48
2023_q4,,Shoulder Arthroscopy,,Total,Provincial,2023,4,88,309,120,347
12month_rolling,General Surgery,Hernia Repair  (Adult),"McWilliams, Colin",,,,,42,97,37,57
12month_rolling,General Surgery,Hernia Repair  (Adult),"Spence, Richard",,,,,106,312,244,413
2024_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 4,Dartmouth General,2024,2,136,366,68,155
12month_rolling,General Surgery,Hernia Repair - Incisional,"Jad, Ahmed",,,,,134,242,101,178
12month_rolling,Plastic Surgery,Oculo Plastic Surgery,"Boehm, Kaitlin",,,,,253,561,119,132
12month_rolling,General Surgery,Gallbladder Surgery,"Butler, Clay K",,,,,,,150,853
2022_q4,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2022,4,94,447,57,200
2023_q4,,Chest Scopes  (Adult),,Zone 4,QE2,2023,4,11,21,7,14
12month_rolling,Orthopaedic,Hip Replacement Revision,"Biddulph, Michael Paul",,,,,,,51,146
12month_rolling,Orthopaedic,Hip Arthroscopy,"Wong, Ivan",,,,,91,427,493,787
12month_rolling,Urology,Male Reproductive System Surgery,"Mason, Ross",,,,,41,103,37,176
2023_q4,,Gastrointestinal Tract Surgery,,Zone 2,Aberdeen Hospital,2023,4,,,29,71
2024_q3,,Knee Scope,,Zone 1,South Shore Regional,2024,3,,,98,298
2024_q1,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2024,1,50,255,127,545
2022_q3,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2022,3,35,575,165,342
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Piccott, Devin",,,,,90,271,103,177
12month_rolling,,Pilonidal Cyst Surgery,,Zone 3,St. Martha's Regional,2024,3,20,69,99,212
12month_rolling,General Surgery,Hernia Repair  (Adult),"Johnson, Kevin",,,,,22,45,27,55
12month_rolling,General Surgery,Bowel Resection - Open,"Knapp, Gregory",,,,,15,31,23,50
2023_q4,,Shoulder Surgery,,Total,Provincial,2023,4,103,449,236,644
2024_q2,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2024,2,35,56,,
2023_q3,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2023,3,27,64,47,227
2024_q3,,Shoulder Arthroplasty,,Zone 4,QE2,2024,3,121,596,254,657
2023_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2023,4,80,231,72,237
12month_rolling,Ophthalmology,Cataract Surgery,"Utman, Saqib",,,,,7,32,15,46
2023_q3,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2023,3,87,253,202,400
